time,px,py,pz,vx,vy,vz,ax,ay,az
0.0,2.475546360015869,-1.4297194480895996,4.155749320983887,-1.3622221946716309,0.9338483810424805,0.1326083093881607,-1.121250867843628,0.003435194492340088,-0.04054507613182068
0.01,2.4618680477142334,-1.4203805923461914,4.157073497772217,-1.3733878135681152,0.9338692426681519,0.13218167424201965,-1.1118535995483398,0.0007349401712417603,-0.04478761553764343
0.02,2.4480791091918945,-1.4110419750213623,4.158392906188965,-1.3844588994979858,0.9338631629943848,0.1317124366760254,-1.102387547492981,-0.0019522160291671753,-0.04902547597885132
0.03,2.4341793060302734,-1.4017033576965332,4.159707546234131,-1.3954353332519531,0.9338302612304688,0.1312011331319809,-1.0928524732589722,-0.0046263039112091064,-0.05325886607170105
0.04,2.420170545578003,-1.392365574836731,4.161016941070557,-1.406315803527832,0.9337705373764038,0.13064739108085632,-1.083249807357788,-0.007287055253982544,-0.05748721957206726
0.05,2.4060535430908203,-1.383028268814087,4.162320613861084,-1.4171000719070435,0.9336845874786377,0.13005131483078003,-1.0735794305801392,-0.009934529662132263,-0.0617099404335022
0.06,2.391828775405884,-1.3736916780471802,4.1636176109313965,-1.427787184715271,0.9335721135139465,0.1294132024049759,-1.0638428926467896,-0.012568563222885132,-0.06592729687690735
0.07,2.377497911453247,-1.3643572330474854,4.164908409118652,-1.438376545906067,0.9334330558776855,0.1287328451871872,-1.054040551185608,-0.015188932418823242,-0.07013872265815735
0.08,2.3630614280700684,-1.3550235033035278,4.166193008422852,-1.448867678642273,0.933268129825592,0.12801048159599304,-1.0441728830337524,-0.01779574155807495,-0.07434394955635071
0.09,2.3485207557678223,-1.3456916809082031,4.167468547821045,-1.4592599868774414,0.933077335357666,0.1272459775209427,-1.034240961074829,-0.02038876712322235,-0.07854223251342773
0.1,2.333876848220825,-1.3363621234893799,4.168737411499023,-1.4695523977279663,0.9328604936599731,0.12643969058990479,-1.0242453813552856,-0.022967860102653503,-0.08273398876190186
0.11,2.3191301822662354,-1.3270344734191895,4.169997692108154,-1.479744553565979,0.9326180219650269,0.1255914568901062,-1.0141868591308594,-0.025533095002174377,-0.08691862225532532
0.12,2.3042824268341064,-1.3177099227905273,4.171248435974121,-1.4898357391357422,0.9323498010635376,0.12470123916864395,-1.0040661096572876,-0.02808411419391632,-0.09109538793563843
0.13,2.2893338203430176,-1.3083875179290771,4.172491550445557,-1.4998258352279663,0.9320563077926636,0.12376953661441803,-0.9938836693763733,-0.03062114119529724,-0.09526485204696655
0.14,2.2742857933044434,-1.2990684509277344,4.173724174499512,-1.5097134113311768,0.9317375421524048,0.12279611825942993,-0.9836406707763672,-0.033143848180770874,-0.09942618012428284
0.15,2.2591400146484375,-1.2897529602050781,4.1749467849731445,-1.519498348236084,0.9313935041427612,0.12178090214729309,-0.9733376502990723,-0.03565213084220886,-0.10357874631881714
0.16,2.243896484375,-1.2804406881332397,4.176159858703613,-1.5291798114776611,0.9310245513916016,0.12072446197271347,-0.9629752039909363,-0.038146063685417175,-0.10772311687469482
0.17,2.2285566329956055,-1.271132469177246,4.177361488342285,-1.5387576818466187,0.9306306838989258,0.11962656676769257,-0.95255446434021,-0.04062536358833313,-0.11185851693153381
0.18,2.2131218910217285,-1.2618281841278076,4.17855167388916,-1.548230767250061,0.930212140083313,0.11848717927932739,-0.942075788974762,-0.0430900901556015,-0.11598420143127441
0.19,2.197592258453369,-1.2525280714035034,4.1797308921813965,-1.5575989484786987,0.9297690391540527,0.1173068955540657,-0.9315398931503296,-0.04554012417793274,-0.12010085582733154
0.2,2.1819698810577393,-1.2432329654693604,4.180898189544678,-1.5668613910675049,0.929301381111145,0.11608539521694183,-0.9209480285644531,-0.04797525703907013,-0.12420755624771118
0.21,2.166255474090576,-1.2339427471160889,4.182052135467529,-1.5760177373886108,0.928809404373169,0.11482267826795578,-0.910300612449646,-0.050395503640174866,-0.12830382585525513
0.22,2.150449752807617,-1.2246568202972412,4.183194160461426,-1.5850672721862793,0.9282935261726379,0.11351925134658813,-0.8995983004570007,-0.05280081927776337,-0.13239002227783203
0.23,2.134554624557495,-1.215376853942871,4.184322834014893,-1.5940093994140625,0.9277533888816833,0.11217503994703293,-0.8888423442840576,-0.05519093573093414,-0.13646548986434937
0.24,2.11857008934021,-1.206101894378662,4.1854376792907715,-1.602843999862671,0.9271897077560425,0.11079008877277374,-0.878032922744751,-0.05756598711013794,-0.14052987098693848
0.25,2.1024980545043945,-1.1968331336975098,4.1865386962890625,-1.6115700006484985,0.9266021847724915,0.10936438292264938,-0.8671713471412659,-0.05992569029331207,-0.14458271861076355
0.26,2.086338996887207,-1.1875698566436768,4.187624931335449,-1.6201871633529663,0.9259911775588989,0.10789843648672104,-0.856257975101471,-0.062270209193229675,-0.1486242115497589
0.27,2.070094347000122,-1.1783130168914795,4.188696384429932,-1.6286951303482056,0.9253569841384888,0.10639206320047379,-0.8452937602996826,-0.06459929049015045,-0.15265387296676636
0.28,2.0537657737731934,-1.169062852859497,4.189752578735352,-1.6370928287506104,0.9246993064880371,0.10484524816274643,-0.8342797756195068,-0.06691272556781769,-0.15667110681533813
0.29,2.037353038787842,-1.1598191261291504,4.190793037414551,-1.6453803777694702,0.9240186810493469,0.10325860977172852,-0.8232163190841675,-0.06921073794364929,-0.16067610681056976
0.3,2.0208582878112793,-1.1505825519561768,4.191817283630371,-1.6535569429397583,0.9233150482177734,0.10163190960884094,-0.8121044635772705,-0.0714929848909378,-0.16466838121414185
0.31,2.004282236099243,-1.1413527727127075,4.1928253173828125,-1.661622405052185,0.9225888848304749,0.09996528923511505,-0.800944983959198,-0.07375958561897278,-0.16864734888076782
0.32,1.987626075744629,-1.1321306228637695,4.193816661834717,-1.6695759296417236,0.9218400716781616,0.09825898706912994,-0.7897385954856873,-0.07601036131381989,-0.17261327803134918
0.33,1.9708913564682007,-1.1229162216186523,4.194790840148926,-1.6774169206619263,0.9210687875747681,0.09651313722133636,-0.778486430644989,-0.07824517786502838,-0.1765657216310501
0.34,1.954078197479248,-1.1137099266052246,4.195746421813965,-1.685145378112793,0.9202749729156494,0.09472760558128357,-0.7671887874603271,-0.08046406507492065,-0.18050381541252136
0.35000000000000003,1.9371888637542725,-1.1045109033584595,4.196684837341309,-1.6927605867385864,0.9194594621658325,0.09290298819541931,-0.7558470368385315,-0.08266697824001312,-0.1844281405210495
0.36,1.9202234745025635,-1.095320701599121,4.197605133056641,-1.700262188911438,0.9186217784881592,0.09103924036026001,-0.7444614171981812,-0.08485367894172668,-0.188338041305542
0.37,1.9031836986541748,-1.0861384868621826,4.198505878448486,-1.7076497077941895,0.9177623987197876,0.08913646638393402,-0.7330330014228821,-0.08702431619167328,-0.19223323464393616
0.38,1.886070966720581,-1.076965570449829,4.199387073516846,-1.7149226665496826,0.9168813228607178,0.08719456195831299,-0.7215629816055298,-0.08917859196662903,-0.1961130052804947
0.39,1.8688855171203613,-1.0678009986877441,4.200249671936035,-1.7220808267593384,0.9159789085388184,0.08521407842636108,-0.7100515961647034,-0.09131665527820587,-0.19997793436050415
0.4,1.8516294956207275,-1.0586456060409546,4.201091766357422,-1.729123592376709,0.9150551557540894,0.08319509029388428,-0.6985000371932983,-0.09343832731246948,-0.20382727682590485
0.41000000000000003,1.834303617477417,-1.0494999885559082,4.201912879943848,-1.7360506057739258,0.9141101837158203,0.08113755285739899,-0.686909019947052,-0.09554348886013031,-0.20766040682792664
0.42,1.8169090747833252,-1.0403635501861572,4.202714443206787,-1.7428615093231201,0.9131443500518799,0.07904206216335297,-0.675279438495636,-0.09763221442699432,-0.21147790551185608
0.43,1.7994465827941895,-1.0312371253967285,4.203494071960449,-1.749556064605713,0.9121576547622681,0.0769081562757492,-0.663611888885498,-0.09970425069332123,-0.2152789682149887
0.44,1.7819182872772217,-1.0221203565597534,4.204251766204834,-1.7561336755752563,0.9111502766609192,0.07473646104335785,-0.6519076824188232,-0.10175979137420654,-0.21906299889087677
0.45,1.764324426651001,-1.0130137205123901,4.204988479614258,-1.762594223022461,0.9101226329803467,0.0725269615650177,-0.640167236328125,-0.10379858314990997,-0.22283056378364563
0.46,1.7466667890548706,-1.003917932510376,4.205702781677246,-1.7689368724822998,0.9090744256973267,0.07027997076511383,-0.628391683101654,-0.10582052171230316,-0.2265809029340744
0.47000000000000003,1.7289462089538574,-0.9948329925537109,4.206393718719482,-1.7751619815826416,0.9080060124397278,0.06799536943435669,-0.6165816783905029,-0.10782566666603088,-0.23031339049339294
