time,px,py,pz,vx,vy,vz,ax,ay,az
0.62675,0.734044,0.471873,1.45,7.17012,4.35972,0,-33.5586,-7.18025,0
0.63675,0.804067,0.515112,1.45,6.83454,4.28792,0,-33.5586,-7.18025,0
0.64675,0.870735,0.557632,1.45,6.49895,4.21612,0,-33.5586,-7.18025,0
0.65675,0.934046,0.600068,1.45,6.16337,4.27922,0,-33.5586,7.18025,0
0.66675,0.994002,0.643219,1.45,5.82778,4.35102,0,-33.5586,7.18025,0
0.67675,1.0506,0.687088,1.45,5.49219,4.42282,0,-33.5586,7.18025,0
0.68675,1.10385,0.731675,1.45,5.15661,4.49462,0,-33.5586,7.18025,0
0.69675,1.15373,0.776981,1.45,4.82102,4.56643,0,-33.5586,7.18025,0
0.70675,1.20027,0.823004,1.45,4.48543,4.63823,0,-33.5586,7.18025,0
0.71675,1.24344,0.869745,1.45,4.14985,4.71003,0,-33.5586,7.18025,0
0.72675,1.28326,0.917204,1.45,3.81426,4.78183,0,-33.5586,7.18025,0
0.73675,1.31973,0.965382,1.45,3.47868,4.85364,0,-33.5586,7.18025,0
0.74675,1.35284,1.01428,1.45,3.14309,4.92544,0,-33.5586,7.18025,0
0.75675,1.38259,1.06389,1.45,2.8075,4.99724,0,-33.5586,7.18025,0
0.76675,1.40899,1.11422,1.45,2.47192,5.06904,0,-33.5586,7.18025,0
0.77675,1.43203,1.16527,1.45,2.13633,5.14085,0,-33.5586,7.18025,0
0.78675,1.45171,1.21704,1.45,1.80074,5.21265,0,-33.5586,7.18025,0
0.79675,1.46804,1.26952,1.45,1.46516,5.28445,0,-33.5586,7.18025,0
0.80675,1.48102,1.32273,1.45,1.12957,5.35625,0,-33.5586,7.18025,0
0.81675,1.49063,1.37665,1.45,0.793985,5.42806,0,-33.5586,7.18025,0
0.839143,1.5,1.5,1.45,0.0425086,5.58884,0,-23.5319,24.9807,0
0.849143,1.49925,1.55714,1.45,-0.19281,5.83865,0,-23.5319,24.9807,0
0.859143,1.49614,1.61677,1.45,-0.428129,6.08846,0,-23.5319,24.9807,0
0.869143,1.49069,1.67891,1.45,-0.663448,6.33827,0,-23.5319,24.9807,0
