0,0,0,1.5,0,0,0,0,32.6779,0.662166
0.01,0,0.00163389,1.50003,0,0.326779,0.00662166,0,32.6779,0.662166
0.02,0,0.00653557,1.50013,0,0.653557,0.0132433,0,32.6779,0.662166
0.03,0,0.014705,1.5003,0,0.980336,0.019865,0,32.6779,0.662166
0.04,0,0.0261423,1.50053,0,1.30711,0.0264867,0,32.6779,0.662166
0.05,0,0.0401089,1.50083,0,1.41421,0.0331083,0,0,0.662166
0.06,0,0.0542511,1.50119,0,1.41421,0.03973,0,0,0.662166
0.07,0,0.0683932,1.50162,0,1.41421,0.0463516,0,0,0.662166
0.08,0,0.0825353,1.50212,0,1.41421,0.0529733,0,0,0.662166
0.09,0,0.0966775,1.50268,0,1.41421,0.059595,0,0,0.662166
0.1,0,0.11082,1.50331,0,1.41421,0.0662166,0,0,0.662166
0.11,0,0.124962,1.50401,0,1.41421,0.0728383,0,0,0.662166
0.12,0,0.139104,1.50477,0,1.41421,0.07946,0,0,0.662166
0.13,0,0.153246,1.5056,0,1.41421,0.0860816,0,0,0.662166
0.14,0,0.167388,1.50649,0,1.41421,0.0927033,0,0,0.662166
0.15,0,0.18153,1.50745,0,1.41421,0.099325,0,0,0.662166
0.16,0,0.195672,1.50848,0,1.41421,0.105947,0,0,0.662166
0.17,0,0.209815,1.50957,0,1.41421,0.112568,0,0,0.662166
0.18,0,0.223957,1.51073,0,1.41421,0.11919,0,0,0.662166
0.19,0,0.238099,1.51195,0,1.41421,0.125812,0,0,0.662166
0.2,0,0.252241,1.51324,0,1.41421,0.132433,0,0,0.662166
0.21,0,0.266383,1.5146,0,1.41421,0.139055,0,0,0.662166
0.22,0,0.280525,1.51602,0,1.41421,0.145677,0,0,0.662166
0.23,0,0.294667,1.51751,0,1.41421,0.152298,0,0,0.662166
0.24,0,0.30881,1.51907,0,1.41421,0.15892,0,0,0.662166
0.25,0,0.322952,1.52069,0,1.41421,0.165542,0,0,0.662166
0.26,0,0.337094,1.52238,0,1.41421,0.172163,0,0,0.662166
0.27,0,0.351236,1.52414,0,1.41421,0.178785,0,0,0.662166
0.28,0,0.365378,1.52596,0,1.41421,0.185407,0,0,0.662166
0.29,0,0.37952,1.52784,0,1.41421,0.192028,0,0,0.662166
0.3,0,0.393662,1.5298,0,1.41421,0.19865,0,0,0.662166
0.31,0,0.407804,1.53182,0,1.41421,0.205272,0,0,0.662166
0.32,0,0.421947,1.5339,0,1.41421,0.211893,0,0,0.662166
0.33,0,0.436089,1.53605,0,1.41421,0.218515,0,0,0.662166
0.34,0,0.450231,1.53827,0,1.41421,0.225137,0,0,0.662166
0.35,0,0.464373,1.54056,0,1.41421,0.231758,0,0,0.662166
0.36,0,0.478515,1.54291,0,1.41421,0.23838,0,0,0.662166
0.37,0,0.492657,1.54533,0,1.41421,0.245002,0,0,0.662166
0.38,0,0.506799,1.54781,0,1.41421,0.251623,0,0,0.662166
