time,px,py,pz,vx,vy,vz,ax,ay,az
0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.03,8.6111998598426e-07,-2.6425000854146674e-08,1.5,0.0001371039979858324,-4.20440028392477e-06,-2.3734799469821155e-05,0.016316799446940422,-0.0004998400108888745,-0.002813439816236496
0.04,8.6111998598426e-07,-2.6425000854146674e-08,1.5,0.0001371039979858324,-4.20440028392477e-06,-2.3734799469821155e-05,0.016316799446940422,-0.0004998400108888745,-0.002813439816236496
0.05,1.350900038232794e-05,-4.1350000401507714e-07,1.5,0.0010700400453060865,-3.271360037615523e-05,-0.0001830200053518638,0.06314239650964737,-0.001926559954881668,-0.010710079222917557
0.06,1.350900038232794e-05,-4.1350000401507714e-07,1.5,0.0010700400453060865,-3.271360037615523e-05,-0.0001830200053518638,0.06314239650964737,-0.001926559954881668,-0.010710079222917557
0.07,1.350900038232794e-05,-4.1350000401507714e-07,1.5,0.0010700400453060865,-3.271360037615523e-05,-0.0001830200053518638,0.06314239650964737,-0.001926559954881668,-0.010710079222917557
0.08,6.704899715259671e-05,-2.0475999917834997e-06,1.5,0.0035226799082010984,-0.00010740000288933516,-0.00059508002595976,0.13738879561424255,-0.004177759867161512,-0.022908799350261688
0.09,6.704899715259671e-05,-2.0475999917834997e-06,1.5,0.0035226799082010984,-0.00010740000288933516,-0.00059508002595976,0.13738879561424255,-0.004177759867161512,-0.022908799350261688
0.1,0.00020773000142071396,-6.330799806164578e-06,1.5,0.008143200539052486,-0.0002476919908076525,-0.0013581999810412526,0.23611199855804443,-0.007160159759223461,-0.03867679834365845
0.11,0.00020773000142071396,-6.330799806164578e-06,1.5,0.008143200539052486,-0.0002476919908076525,-0.0013581999810412526,0.23611199855804443,-0.007160159759223461,-0.03867679834365845
0.12,0.00020773000142071396,-6.330799806164578e-06,1.5,0.008143200539052486,-0.0002476919908076525,-0.0013581999810412526,0.23611199855804443,-0.007160159759223461,-0.03867679834365845
0.13,0.000497110013384372,-1.5122999684535898e-05,1.499899983406067,0.015508400276303291,-0.00047080000513233244,-0.0025529200211167336,0.3564799726009369,-0.010789119638502598,-0.05732480064034462
0.14,0.000497110013384372,-1.5122999684535898e-05,1.499899983406067,0.015508400276303291,-0.00047080000513233244,-0.0025529200211167336,0.3564799726009369,-0.010789119638502598,-0.05732480064034462
0.15,0.0010103000095114112,-3.068799924221821e-05,1.4997999668121338,0.02612600103020668,-0.000791919999755919,-0.004243200179189444,0.4958399832248688,-0.014988640323281288,-0.07820479571819305
0.16,0.0010103000095114112,-3.068799924221821e-05,1.4997999668121338,0.02612600103020668,-0.000791919999755919,-0.004243200179189444,0.4958399832248688,-0.014988640323281288,-0.07820479571819305
0.17,0.0010103000095114112,-3.068799924221821e-05,1.4997999668121338,0.02612600103020668,-0.000791919999755919,-0.004243200179189444,0.4958399832248688,-0.014988640323281288,-0.07820479571819305
0.18,0.0018341999966651201,-5.564700040849857e-05,1.4996999502182007,0.040435999631881714,-0.0012244000099599361,-0.006476800423115492,0.6516320109367371,-0.01969119906425476,-0.10071840137243271
0.19,0.0018341999966651201,-5.564700040849857e-05,1.4996999502182007,0.040435999631881714,-0.0012244000099599361,-0.006476800423115492,0.6516320109367371,-0.01969119906425476,-0.10071840137243271
0.2,0.0030660999473184347,-9.293499897466972e-05,1.499500036239624,0.058824002742767334,-0.0017801199574023485,-0.009288000874221325,0.8214240074157715,-0.024835199117660522,-0.12430239468812943
0.21,0.0030660999473184347,-9.293499897466972e-05,1.499500036239624,0.058824002742767334,-0.0017801199574023485,-0.009288000874221325,0.8214240074157715,-0.024835199117660522,-0.12430239468812943
0.22,0.0030660999473184347,-9.293499897466972e-05,1.499500036239624,0.058824002742767334,-0.0017801199574023485,-0.009288000874221325,0.8214240074157715,-0.024835199117660522,-0.12430239468812943
0.23,0.0048120999708771706,-0.0001457699981983751,1.4991999864578247,0.08160799741744995,-0.002469399943947792,-0.012696400284767151,1.0029280185699463,-0.030369598418474197,-0.14843998849391937
0.24,0.0048120999708771706,-0.0001457699981983751,1.4991999864578247,0.08160799741744995,-0.002469399943947792,-0.012696400284767151,1.0029280185699463,-0.030369598418474197,-0.14843998849391937
0.25,0.007185299880802631,-0.0002175999979954213,1.498900055885315,0.10904800146818161,-0.003301480086520314,-0.016710400581359863,1.193951964378357,-0.03624960035085678,-0.17265599966049194
0.26,0.007185299880802631,-0.0002175999979954213,1.498900055885315,0.10904800146818161,-0.003301480086520314,-0.016710400581359863,1.193951964378357,-0.03624960035085678,-0.17265599966049194
